x	y	x1	y1	x2	y2	x3	y3
-30.01	10.48	8.22	-64.75	-84.11	-139.46	-34.95	-148.63
-30.01	10.48	8.22	-64.75	-84.11	-139.46	-34.95	-148.63
-28.04	14.49	10.21	-58.75	-86.12	-127.47	-41.94	-148.63
-28.07	14.5	10.19	-58.75	-86.12	-127.47	-41.94	-148.63
-19.07	22.49	23.19	-49.76	-78.13	-114.48	-46.93	-145.63
-19.06	26.48	24.21	-44.76	-78.15	-102.49	-41.92	-134.65
-19.04	26.46	24.21	-44.76	-78.16	-102.49	-41.92	-134.66
-17.07	27.46	28.21	-40.77	-66.15	-110.48	-18.93	-129.66
-17.07	27.46	28.21	-40.78	-66.15	-110.49	-18.93	-129.66
-14.07	28.46	44.21	-32.77	-9.95	-139.49	41.02	-130.22
-12.05	29.47	58.22	-18.77	70.34	-140.97	112.33	-118.26
-12.05	29.47	58.23	-18.77	72.51	-140.2	112.33	-118.26
-10.06	29.47	60.25	-16.77	91.54	-136.68	129.34	-118.3
-12.06	25.49	55.25	-22.79	86.61	-139.49	130.35	-132.28
-12.06	25.51	55.26	-22.8	87.31	-140.9	130.36	-132.25
-22.06	17.51	36.25	-40.8	58.12	-157.64	107.37	-143.25
-22.06	17.51	36.25	-40.8	59.53	-158.35	107.37	-143.24
-22.07	17.51	36.26	-37.81	49.12	-161.84	98.37	-143.25
-22.07	19.49	36.28	-36.82	40.54	-157.74	88.36	-143.26
-22.07	19.47	36.3	-36.84	39.84	-158.47	88.35	-143.27
-23.07	19.47	34.3	-38.83	25.42	-155.63	74.34	-145.28
-23.07	19.46	34.3	-38.81	24	-157.72	74.33	-145.28
-25.06	19.46	31.3	-39.82	15.39	-157.14	63.34	-146.27
-27.04	19.46	27.31	-41.82	2.57	-159.24	53.33	-146.26
-27.02	19.46	27.31	-41.82	1.16	-159.22	53.32	-146.25
-28.02	17.47	23.28	-44.83	-11.13	-159.16	38.33	-146.26
-28.02	17.47	23.25	-44.83	-13.95	-158.46	38.33	-146.26
-31.01	15.48	17.26	-47.82	-22.84	-156.29	26.32	-146.27
-33	13.5	13.28	-49.82	-36.66	-157.93	16.31	-146.27
-33.98	13.51	13.29	-49.81	-35.95	-157.23	16.3	-146.28
-34.98	11.52	10.29	-51.82	-45.95	-156.23	5.29	-146.28
-34.98	11.52	10.3	-51.83	-45.96	-156.23	5.28	-146.29
-33.99	11.52	7.31	-55.83	-55.97	-155.21	-5.73	-146.29
-33.99	7.53	6.32	-60.83	-69.96	-152.21	-19.73	-146.27
-34	7.53	6.33	-60.83	-69.95	-152.21	-19.73	-146.26
-34.99	5.52	5.33	-65.82	-79.95	-149.2	-30.2	-146
-34.99	5.51	5.32	-65.8	-79.94	-149.19	-30.19	-145.32
-35.01	6.52	3.3	-61.8	-89.05	-137.2	-40.21	-145.31
-33	9.52	4.3	-60.79	-90.41	-127.46	-48.22	-145.3
-33	9.51	4.29	-60.79	-90.42	-126.76	-48.23	-145.3
-28.01	13.52	11.29	-56.79	-91.66	-117.18	-57.23	-145.29
-28.01	13.51	11.29	-56.8	-91.66	-117.18	-57.23	-145.28
-25.02	14.51	15.28	-52.8	-90.66	-114.15	-60.24	-145.24
-24.03	16.52	17.26	-48.81	-90.66	-104.13	-52.25	-135.24
-24.04	16.52	17.25	-48.82	-90.67	-104.13	-52.27	-135.25
-24.03	20.52	23.22	-44.84	-78.66	-112.11	-30.56	-125.36
