x	y	x	y	x	y	x	y
107.31	205.98	114.71	160.34	57.04	98.44	61.67	46.87
107.3	205.98	114.71	160.34	56.04	99.43	61.67	46.87
106.33	205.98	113.7	160.34	54.06	99.44	59.67	46.87
108.31	204.98	114.73	159.34	56.05	99.44	60.67	46.86
108.29	204.99	114.75	159.33	56.05	99.43	60.67	46.85
111.25	202	118.76	157.33	58.07	99.4	62.65	46.83
111.21	202.01	118.76	157.32	58.09	99.37	62.64	46.81
116.19	198	124.77	152.33	62.08	99.34	65.65	46.78
126.2	189	137.77	146.33	70.07	99.31	73.64	42.77
126.21	189.01	137.77	146.34	70.06	99.29	73.64	42.77
141.2	180.01	155.78	142.35	89.06	95.32	89.63	38.77
141.19	180.01	155.78	142.36	88.06	96.32	89.63	38.77
156.19	174.01	172.79	142.35	110.07	96.27	107.64	38.78
172.21	170	191.78	141.33	132.04	93.24	127.63	38.78
172.22	169.99	191.78	141.33	131.05	94.2	127.62	38.78
196.21	163.99	217.78	140.34	159.05	94.09	152.62	38.77
196.2	163.98	217.78	140.35	159.05	93.98	152.63	38.75
213.2	161.98	237.78	141.36	177.09	90.99	175.64	38.72
226.17	161.98	251.76	142.36	190.11	91.94	193.62	37.72
226.14	161.97	251.74	142.35	190.13	91.89	193.6	37.71
233.11	161.97	259.72	142.35	195.15	89.92	200.61	36.7
233.08	161.97	259.71	142.35	195.17	89.95	200.61	36.69
225.04	163.96	251.72	142.34	185.16	91.93	193.63	36.69
210.04	164.96	235.73	141.32	169.17	91.93	181.62	37.69
210.03	164.95	235.74	141.3	169.17	91.92	181.61	37.69
197.03	165.95	221.74	140.31	154.19	91.91	168.61	38.68
189.02	167.94	211.76	140.31	143.18	91.9	157.61	38.68
189.02	167.93	211.77	140.31	143.18	91.89	157.6	38.67
181.02	167.94	203.75	141.29	131.18	91.86	143.6	38.64
181.02	167.94	203.73	141.28	131.18	91.83	143.6	38.61
174.03	169.95	194.73	141.27	122.16	91.8	132.61	38.58
164.02	173.94	183.7	142.26	110.15	91.8	119.62	38.55
163.03	173.93	183.67	142.25	110.13	91.8	119.63	38.53
153.03	176.92	172.66	143.24	97.13	91.86	106.64	38.51
153.03	176.92	172.65	143.24	97.13	91.91	106.65	38.49
145.05	179.92	163.65	145.22	87.14	92.94	96.65	38.47
141.04	182.92	157.65	146.22	81.16	92.95	91.66	38.46
141.04	182.92	157.65	146.22	81.18	92.97	91.67	38.45
137.04	184.92	152.68	147.23	78.16	93.01	89.65	39.45
137.03	184.92	152.7	147.23	78.13	93.05	89.63	39.45
132.03	187.93	146.7	149.23	73.14	93.12	85.62	39.46
128	190.93	141.71	151.23	68.15	94.11	81.61	42.46
127.97	190.92	141.71	151.22	68.16	94.1	81.61	42.46
124.99	191.92	138.72	151.24	66.15	94.1	79.6	43.45
125	191.92	138.73	151.25	66.14	94.1	79.59	43.44
